job_name,status,creation_time,training_job_counts,best_auc,data_source,container_image,instance_type,num_completed,avg_auc,min_auc,max_auc,scores_above_55,scores_above_80,scores_above_95,perfect_scores
options-hpo-aapl-1751554831,Completed,2025-07-03 15:00:33.945000+00:00,"{'Completed': 7, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 13, 'Stopped': 0}",0.9998599886894226,s3://hpo-bucket-773934887314/data/train/,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-xgboost:1.0-1-cpu-py3,ml.m5.4xlarge,7.0,0.8634299976485116,0.652649998664856,0.9998599886894226,7.0,5.0,3.0,1.0
options-hpo-aapl-1751554043,Completed,2025-07-03 14:47:25.545000+00:00,"{'Completed': 13, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 0}",0.9988999962806702,s3://hpo-bucket-773934887314/data/train/,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-xgboost:1.0-1-cpu-py3,ml.m5.4xlarge,13.0,0.918051540851593,0.7943900227546692,0.9988999962806702,13.0,12.0,7.0,0.0
options-hpo-aapl-1751553739,Failed,2025-07-03 14:42:22.001000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 5, 'Stopped': 1}",,s3://hpo-bucket-773934887314/data/train/,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-xgboost:1.0-1-cpu-py3,ml.m5.4xlarge,,,,,,,,
options-hpo-aapl-1751553092,Failed,2025-07-03 14:31:34.503000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 6, 'Stopped': 0}",,s3://hpo-bucket-773934887314/data/train/,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1,ml.m5.4xlarge,,,,,,,,
options-hpo-aapl-1751552773,Failed,2025-07-03 14:26:15.775000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 6, 'Stopped': 1}",,s3://hpo-bucket-773934887314/data/train/,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1,ml.m5.4xlarge,,,,,,,,
options-hpo-aapl-1751552470,Failed,2025-07-03 14:21:12.976000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 5, 'Stopped': 1}",,s3://hpo-bucket-773934887314/data/train/,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1,ml.m5.4xlarge,,,,,,,,
options-hpo-aapl-1751552029,Failed,2025-07-03 14:13:51.306000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 5, 'Stopped': 2}",,s3://hpo-bucket-773934887314/data/train/,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1,ml.m5.4xlarge,,,,,,,,
msft-hpo-1751370974,Completed,2025-07-01 11:56:16.747000+00:00,"{'Completed': 20, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 0}",0.5216349959373474,s3://hpo-bucket-773934887314/data/MSFT/train,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1,ml.m5.xlarge,20.0,0.47967709600925446,0.447613000869751,0.5216349959373474,0.0,0.0,0.0,0.0
msft-hpo-1751370886,Completed,2025-07-01 11:54:47.936000+00:00,"{'Completed': 20, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 0}",0.503026008605957,s3://hpo-bucket-773934887314/data/MSFT/train,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1,ml.m5.xlarge,20.0,0.4737898990511894,0.4331069886684418,0.503026008605957,0.0,0.0,0.0,0.0
hpo-full-1751555388,Completed,2025-07-03 15:09:50.423000+00:00,"{'Completed': 25, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 25, 'Stopped': 0}",1.0,s3://hpo-bucket-773934887314/data/train/,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-xgboost:1.0-1-cpu-py3,ml.m5.4xlarge,25.0,0.9468843984603882,0.7255499958992004,1.0,25.0,24.0,17.0,5.0
googl-hpo-1751371503,Completed,2025-07-01 12:05:05.387000+00:00,"{'Completed': 20, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 0}",0.5207710266113281,s3://hpo-bucket-773934887314/data/GOOGL/train,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1,ml.m5.xlarge,20.0,0.48650715351104734,0.4532240033149719,0.5207710266113281,0.0,0.0,0.0,0.0
cf-rf-full-1751524752,Completed,2025-07-03 06:39:13.827000+00:00,"{'Completed': 50, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 0}",1.0,s3://hpo-bucket-773934887314/56_stocks/2025-07-03-05-41-43/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-scikit-learn:0.23-1-cpu-py3,ml.m5.4xlarge,50.0,0.9988813209533691,0.9721969962120056,1.0,50.0,50.0,50.0,46.0
cf-rf-aapl-1751524027,Completed,2025-07-03 06:27:08.219000+00:00,"{'Completed': 20, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 0}",1.0,s3://hpo-bucket-773934887314/56_stocks/2025-07-03-05-41-43/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-scikit-learn:0.23-1-cpu-py3,ml.m5.4xlarge,20.0,0.9951988995075226,0.9599769711494446,1.0,20.0,20.0,20.0,16.0
cf-hpo-full-1751523545,Stopped,2025-07-03 06:19:06.996000+00:00,"{'Completed': 17, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 2}",1.0,s3://hpo-bucket-773934887314/56_stocks/2025-07-03-05-41-43/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-scikit-learn:0.23-1-cpu-py3,ml.m5.4xlarge,,,,,,,,
cf-hpo-aapl-1751522762,Completed,2025-07-03 06:06:04.070000+00:00,"{'Completed': 20, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 0}",1.0,s3://hpo-bucket-773934887314/56_stocks/2025-07-03-05-41-43/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-scikit-learn:0.23-1-cpu-py3,ml.m5.4xlarge,20.0,0.9965080469846725,0.9621840119361877,1.0,20.0,20.0,20.0,17.0
cf-hpo-aapl-1751522515,Failed,2025-07-03 06:01:56.358000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 5, 'Stopped': 3}",,s3://hpo-bucket-773934887314/56_stocks/2025-07-03-05-41-43/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-scikit-learn:0.23-1-cpu-py3,ml.m5.4xlarge,,,,,,,,
cf-hpo-aapl-1751521979,Failed,2025-07-03 05:53:00.361000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 6, 'Stopped': 2}",,s3://hpo-bucket-773934887314/56_stocks/2025-07-03-05-41-43/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-scikit-learn:0.23-1-cpu-py3,ml.m5.4xlarge,,,,,,,,
cf-hpo-aapl-1751521732,Failed,2025-07-03 05:48:53.942000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 6, 'Stopped': 2}",,s3://hpo-bucket-773934887314/56_stocks/2025-07-03-05-41-43/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-scikit-learn:0.23-1-cpu-py3,ml.m5.4xlarge,,,,,,,,
cf-hpo-aapl-1751521331,Failed,2025-07-03 05:42:12.974000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 6, 'Stopped': 2}",,s3://hpo-bucket-773934887314/56_stocks/2025-07-03-05-41-43/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-scikit-learn:0.23-1-cpu-py3,ml.m5.4xlarge,,,,,,,,
cf-hpo-aapl-1751521067,Failed,2025-07-03 05:37:48.442000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 1}",,s3://hpo-bucket-773934887314/56_stocks/2025-07-03-05-32-24/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-scikit-learn:0.23-1-cpu-py3,ml.m5.4xlarge,,,,,,,,
aapl-hpo-20250701-071457,Completed,2025-07-01 11:14:58.170000+00:00,"{'Completed': 20, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 0}",0.5482950210571289,s3://hpo-bucket-773934887314/data/train/aapl_simple_train.csv,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1,ml.m5.xlarge,20.0,0.510030297935009,0.4892539978027344,0.5482950210571289,0.0,0.0,0.0,0.0
aapl-hpo-20250701-064752,Failed,2025-07-01 10:47:52.567000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 6, 'Stopped': 2}",,s3://hpo-bucket-773934887314/data/train/aapl_simple_train.csv,246618743249.dkr.ecr.us-east-1.amazonaws.com/sagemaker-lightgbm:1.2-1,ml.m5.xlarge,,,,,,,,
aapl-hpo-20250701-064449,Failed,2025-07-01 10:44:50.168000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 5, 'Stopped': 2}",,s3://hpo-bucket-773934887314/data/train/,246618743249.dkr.ecr.us-east-1.amazonaws.com/sagemaker-lightgbm:1.2-1,ml.m5.xlarge,,,,,,,,
aapl-hpo-20250701-064017,Failed,2025-07-01 10:40:17.653000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 1}",,s3://hpo-bucket-773934887314/data/aapl_features.csv,246618743249.dkr.ecr.us-east-1.amazonaws.com/sagemaker-lightgbm:1.2-1,ml.m5.xlarge,,,,,,,,
46-models-hpo-1751425639,Failed,2025-07-02 03:07:21.035000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 0}",,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,246618743249.dkr.ecr.us-east-1.amazonaws.com/xgboost:1.5-1,ml.m5.xlarge,,,,,,,,
46-models-fixed,Failed,2025-07-02 03:23:30.314000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 1}",,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/xgboost:latest,ml.m5.xlarge,,,,,,,,
46-models-final-1751428406,Completed,2025-07-02 03:53:27.982000+00:00,"{'Completed': 138, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 0}",0.5153700113296509,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-xgboost:1.7-1,ml.m5.xlarge,100.0,0.5007344025373459,0.4914799928665161,0.5153700113296509,0.0,0.0,0.0,0.0
46-models-final-1751427536,Completed,2025-07-02 03:38:57.424000+00:00,"{'Completed': 138, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 0, 'Stopped': 0}",0.5133299827575684,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-xgboost:1.7-1,ml.m5.xlarge,100.0,0.5002260002493858,0.4855700135231018,0.5133299827575684,0.0,0.0,0.0,0.0
46-models-corrected-1751427281,Failed,2025-07-02 03:34:42.950000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 1}",,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,683313688378.dkr.ecr.us-east-1.amazonaws.com/sagemaker-xgboost:1.7-1,ml.m5.xlarge,,,,,,,,
46-models-corrected-1751427037,Failed,2025-07-02 03:30:37.995000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 1}",,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1.7-1,ml.m5.xlarge,,,,,,,,
46-models-corrected-1751426975,Failed,2025-07-02 03:29:35.803000+00:00,"{'Completed': 0, 'InProgress': 0, 'RetryableError': 0, 'NonRetryableError': 7, 'Stopped': 1}",,s3://hpo-bucket-773934887314/56_stocks/46_models/2025-07-02-03-05-02/train.csv,811284229777.dkr.ecr.us-east-1.amazonaws.com/xgboost:1.7-1,ml.m5.xlarge,,,,,,,,
